_¶é__³è,"If you do wish to participate in the research study, please select ""Agree"".",(1) Current country/area of residence?,(2) What is your current occupation?,(3) Your primary programming language?,(4) What best describes your primary role?,(5) How many years of experience do you have with your primary role?,(1) Do you think refactoring is an important part of DL software development process?,(2) Do you think the refactoring operations below are important in DL projects? [Rename],(2) Do you think the refactoring operations below are important in DL projects? [Move],(2) Do you think the refactoring operations below are important in DL projects? [Extract],(2) Do you think the refactoring operations below are important in DL projects? [Inline],(2) Do you think the refactoring operations below are important in DL projects? [Pull up],(2) Do you think the refactoring operations below are important in DL projects? [Push down],(2) Do you think the refactoring operations below are important in DL projects? [API Refactoring],(2) Do you think the refactoring operations below are important in DL projects? [Consolidate or Decompose Conditional Expression],(2) Do you think the refactoring operations below are important in DL projects? [Remove Dead Code],(3) Do you think refactoring operations below are frequently used in DL projects? [Rename],(3) Do you think refactoring operations below are frequently used in DL projects? [Move],(3) Do you think refactoring operations below are frequently used in DL projects? [Extract],(3) Do you think refactoring operations below are frequently used in DL projects? [Inline],(3) Do you think refactoring operations below are frequently used in DL projects? [Pull up],(3) Do you think refactoring operations below are frequently used in DL projects? [Push down],(3) Do you think refactoring operations below are frequently used in DL projects? [API Refactoring],(3) Do you think refactoring operations below are frequently used in DL projects? [Consolidate or Decompose Conditional Expression],(3) Do you think refactoring operations below are frequently used in DL projects? [Remove Dead Code],"(4) If you have a refactoring operation to add, please write it below.",(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Variable],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Statement],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Method],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Class],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Module],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Variable],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Statement],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Method],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Class],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Module],(1) Have you used or are you familiar with code smell detection tools?,"(2) If you have used code smell detection tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying code smell detection tools so far?",(4) Have you used or are you familiar with automatic refactoring tools?,"(5) If you have used automatic refactoring tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying automatic refactoring tools so far?",(6) Have you encountered any challenges or obstacles when using automatic refactoring tools? Please describe.,(1) Do you have any suggestions on how to improve automatic refactoring tools? ,"(2) Thank you very much for participating in our survey. If you have any additional comments or ideas, please feel free to share them below."
2023-11-8 ä¸__12:39:04,Agree,China,Undergraduate/graduate student,"C/C++, Python",Algorithm/ML Model Design,2 to 3 years,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Agree,Strong Agree,Neutral,Strong Agree,Neutral,Neutral,Neutral,Strong Agree,Neutral,,making a function turned into a class,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,No,,Yes,"I have only used the functionalities in vscode, though they are stupid",,You should have a vscode plugin developed....,
2023-11-13 ä¸__08:51:08,Agree,Austria,Industrial or freelance professional,Python,Development,6 to 9 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Neutral,Strong Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,,Agree,Agree,Agree,Agree,Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Yes,"ruff is good to detect generic code smells, torchfix sounds promising but is not usable in the current state.",No,Knowledge/recommendations about tools,,,
2023-11-13 ä¸__01:20:53,Agree,India,Industrial or freelance professional,Python,Development,0 to 1 year,Agree,Strong Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Strong Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Yes,Pycharm provides with some pep guidelines and code quality checker. They are good to maintain quality of code. ,No,"Pycharm has semi-automatic refactoring, that is it would show where there is a need of refactoring and the user has to confirm it.","No, I haven't come across these",I have not come across automatic refactoring tools,
2023-11-24 ä¸__11:16:01,Agree,United States,Industrial or freelance professional,Python,Development,10 years or more,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Agree,Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Disagree,Disagree,Strong Agree,Neutral,Strong Agree,,Neutral,Agree,Strong Agree,Neutral,Strong Agree,Neutral,Disagree,Strong Agree,Strong Agree,Strong Agree,No,I don't understand what that means?  Is it coding style?  Lint-like?,No,Only used manual tools,"I don't trust that they are ""smart"" enough.",Lots of visual feedback on what they propose,
2023-11-9 ä¸__06:27:08,Agree,USA,Industrial or freelance professional,Python,Development,4 to 5 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Disagree,Agree,Strong Agree,,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Disagree,Agree,Strong Agree,,,Strong Agree,Neutral,Strong Agree,Agree,Neutral,Strong Agree,Neutral,Strong Agree,Agree,Neutral,Yes,I like them,Yes,"Very useful for variable renaming or moving around methods, breaking out chunks into methods. Haven't done anything more complex with them, complex refactor I would rather do by hand (to trust that it 's done right, but also complex refactoring is done infrequently enough that it's not worth learning the tool)",,,
2023-11-13 ä¸__03:24:21,Agree,Switzerland,Academic or industrial researcher,"C/C++, Python",Algorithm/ML Model Design,6 to 9 years,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Neutral,Neutral,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Strong Agree,Strong Agree,Agree,Yes,"To improve the code quality. Make the code easy for reuse, for understanding",Yes,They are more convenient than handcrafting.,"Yes. They are often not intelligent enough, sometimes leading to handcrafting.","It is very hard to say. AI aidded tool might be helpful, but again they can be problematic.",
2023-11-12 ä¸__05:25:58,Agree,Germany,Industrial or freelance professional,Python,Development,6 to 9 years,Strong Agree,Agree,Agree,Strong Agree,Agree,Neutral,Neutral,Strong Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,,Neutral,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,Yes,they are a means to an end,No,,,,
2023-11-13 ä¸__10:06:49,Agree,Korea/Seoul,Industrial or freelance professional,"Java, C/C++, Python, JavaScript",Architect,10 years or more,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Yes,,Yes,,does not work as intended after automatic refactoring,,
2023-11-13 ä¸__02:34:58,Agree,USA,Industrial or freelance professional,"Python, JavaScript",Development,4 to 5 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,No,copilot,Yes,"tried chatgpt and copilot. Their suggestion is the right direction to go. However, one needs to test all the edge cases thoroughly. ",,It's easy to give suggestions based on a small fragment of code snippets. So far I haven't found a tool that reviews comprehensively and give out suggestions. ,
2023-11-14 ä¸__04:32:31,Agree,Australia,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Have used in the past but Python is behind other languages I__e used in terms of tooling for smell/refactoring,No,,,,
2023-11-10 ä¸__11:19:16,Agree,India,Industrial or freelance professional,"Java, Python",Architect,4 to 5 years,Strong Agree,Strong Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strong Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Code De-Duplication,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strong Agree,Agree,Neutral,Yes,These tools aid in first stage of identification of refactoring opportunities. They make life simple in code reviews with intuitive and detailed reporting.,Yes,Integrated automtic refactoring tools with IDEs comes handy to do small amount of refactoring.,Automatic refactoring tools can do small amount of refactoring for common patterns. However they lack holistic analysis of the code and thus leaving rest to manual refactoring.,The tools should provide customised suggestions on refactoring and demonstrate the potential value gain by adopting refactoring suggestions.,
2023-11-23 ä¸__05:38:04,Agree,"San Francisco, California, USA",Industrial or freelance professional,Python,Architect,6 to 9 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,modify modules placement of classes and functions,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,No,,Yes,the ranme and refactor capabilities in pycharm,,"for python specifically, at times strings and class names or strings and method names clash, also the registry pattern is ubuquitous and that makes a difference",
2023-11-13 ä¸__12:35:48,Agree,Netherlands,Industrial or freelance professional,Python,Development,2 to 3 years,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Change method signature,Neutral,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Yes,They are often too pedantic and lack contextual information about the project structure,Yes,Helpful and easy to integrate in the development cycle,Ensure that the CI is configured with the same version of the tool used by the devs,"Reduce configuration variability, extend the documentation",
2023-11-10 ä¸__08:19:20,Agree,Croatia,Industrial or freelance professional,Python,Architect,6 to 9 years,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Agree,Strong Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,No,Reading and understanding code is the best and most important prequisite for development and refactoring.,No,"I'm familiar with them and have used them (in limited capacity) in non-Python projects (Java, C++). Python is easy to refactor by and and using elementary text modification tools (search/replace).",I don't use them.,No suggestion.,
2023-11-13 ä¸__07:45:30,Agree,Germany,Academic or industrial researcher,"C/C++, Python",Algorithm/ML Model Design,4 to 5 years,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Disagree,No,,No,,,"Idk, I think code quallity tools work good for Python code in general, however doesn't recognize DL patterns sometimes. I think industry needs DL and Torch focused refactoring toolls.",
2023-11-9 ä¸__05:17:42,Agree,Spain,Industrial or freelance professional,"Python, JavaScript",Chief technology officer,4 to 5 years,Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Avoid duplicates,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Agree,Yes,"They are very useful when finding duplications in the code, high cyclomatic complexity and help prioritize the order of refractorization",Yes,"They are useful, but they must be supported by automated testing to verify that once the changes are made everything still works.","No, over the years they have become very easy to use",,
2023-11-13 ä¸__01:38:43,Agree,Armenia,Academic or industrial researcher,Python,Algorithm/ML Model Design,2 to 3 years,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strong Agree,Agree,Strong Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strong Agree,Neutral,Strong Agree,,Disagree,Disagree,Agree,Agree,Strong Agree,Neutral,Neutral,Neutral,Agree,Strong Agree,Yes,,No,,,,
2023-11-9 ä¸__12:30:02,Agree,Netherlands,Academic or industrial researcher,Python,PhD Student,2 to 3 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Strong Agree,Strong Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,,,Neutral,Agree,Agree,Strong Agree,Strong Agree,Disagree,Disagree,Agree,Neutral,Agree,No,,Yes,"Ruff/pyupgrade also perform automatic refactoring for some simpler expressions. I find them effective for this purpose, too, and I never had problem with using them.",,,
2023-11-11 ä¸__06:19:26,Agree,India,Industrial or freelance professional,Python,Algorithm/ML Model Design,10 years or more,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Agree,Strong Agree,Strong Agree,,Agree,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree,Strong Agree,Yes,"I have used, but not for my DL projects, rather in my corporate role. Linters do the job most of the time",No,"To really trust an automatic refactoring tool, you need to have a lot of trust in your test suite",NA,,
2023-11-12 ä¸__10:54:00,Agree,United States,Industrial or freelance professional,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Strong Agree,Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,I don't Know,I don't Know,Strong Agree,Agree,Strong Agree,,Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,Agree,Strong Agree,Agree,Strong Agree,Yes,"Sonarqube. I hate working with it. Such a clunky piece of software. I am much more a fan of linters like pylint and flake8, albeit they are sometimes not as feature complete for coding styles. ",Yes,Does ChatGPT count? I have had moderately good success refactoring code with a LLM and I expect to do it more often. ,"Yes, if the context window is not high enough my code could change. Also, sometimes I would like a test file to be used to validate that the automatic refactor hasn__ regressed, so you would need an agent on top of the LLM to actually validate these input and output files. I expect this to be solved soon. ","Yes, leaning in to explaining code design patterns more. ",
2023-11-14 ä¸__11:39:03,Agree,United States of America,Academic or industrial researcher,"Python, Rust",Development,4 to 5 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Remove live but no longer supported code,Neutral,Neutral,Neutral,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,They can be overzealous and unaware of expected threat vectors.,Yes,I don't want them to spontaneously break my code.,They can be opaque or misleading in their reasoning for refactoring.,"Make their actions more explainable (but then again, that's a pressing problem throughout ML applications).",
2023-11-11 ä¸__10:56:42,Agree,Slovakia,Industrial or freelance professional,Go,Development,10 years or more,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Un/Break lines,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,No,,No,,,,
2023-11-13 ä¸__11:03:44,Agree,United States of America,Undergraduate/graduate student,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Agree,Strong Agree,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,,Agree,Strong Agree,Strong Agree,Agree,Neutral,Strong Agree,Strong Agree,Strong Agree,Neutral,Disagree,Yes,I have found them useful for detecting edge cases and code behavior I could not have anticipated beforehand.,Yes,"I have found them useful for web server development mainly, but not so much for deep learning development.","Yes, their accuracy is sometimes limited to simple web application programming.",I would recommend these tools be developed specifically with deep learning development in mind.,
2023-11-15 ä¸__05:07:33,Agree,United Kingdom,Undergraduate/graduate student,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Yes,"I'm assuming this means linters, like Flake8? I use Flake8 for every project.",No,"I've never heard of these tool, what are some examples? I would try them if I knew they existed and worked well",,,
2023-11-13 ä¸__10:19:12,Agree,United Arab Emirates,Industrial or freelance professional,Python,Development,4 to 5 years,Agree,Agree,Agree,Agree,Agree,I don't Know,I don't Know,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,No,,No,,Most of the times these tools refactor code in a way such that my longer tests fail and hence I have to fix time add noqa in python code. But easy fixes .,,
2023-11-10 ä¸__09:44:33,Agree,Brazil,Industrial or freelance professional,Go,Development,10 years or more,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Disagree,Neutral,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Yes,,Yes,"I just used native refactor from IDEs. Not bad, not great.",,,
2023-11-14 ä¸__05:23:15,Agree,China,Academic or industrial researcher,"C/C++, Python",Development,2 to 3 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,easy to test,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,The suggestions are not very reliable yet,No,refactor the code accros the files in one project,,The ability to set template project structure,
2023-11-14 ä¸__02:24:37,Agree,,Undergraduate/graduate student,Python,Algorithm/ML Model Design,4 to 5 years,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,I don't Know,Agree,Neutral,I don't Know,I don't Know,Disagree,I don't Know,Neutral,,Agree,Neutral,Agree,Agree,I don't Know,Neutral,Agree,Agree,Agree,Neutral,No,,No,,,,
2023-11-16 ä¸__02:08:17,Agree,United States,Industrial or freelance professional,"C/C++, Python",Algorithm/ML Model Design,2 to 3 years,Agree,Strong Agree,,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Strong Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,No,,Yes,Not the best way to refactor at the moment. Automatic ones are not very efficient because it still requires manual modifications in the end,,,
2023-11-15 ä¸__11:04:58,Agree,,Industrial or freelance professional,Python,Algorithm/ML Model Design,2 to 3 years,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strong Agree,,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,They are useful for optimization of the code and making it clean but can be annoying during debugging because we usually write some messy code just for testing and they can't really understand that it's just a temporary code for debugging purposes.,Yes,They can be very useful and can help us clean up our code.,Sometimes if the code is complicated then these tools can't help us refactor the code even if there's a better way to write the code.,Incorporation of more powerful AI would be very good in these tools. These tools should be able to understand multiple moving parts of complicated codebase and refactor them accordingly.,
2023-11-13 ä¸__06:13:10,Agree,Germany ,Academic or industrial researcher,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Agree,Strong Agree,Neutral,Strong Agree,Neutral,Neutral,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Neutral,Agree,I don't Know,I don't Know,Strong Agree,I don't Know,Disagree,Somewhat specific but: making tests run faster due to GitHub CIs taking too long. ,I don't Know,I don't Know,Agree,Agree,Agree,Disagree,I don't Know,Agree,Strong Agree,Strong Agree,Yes,"They are good but code smell is a bit too static and gives warnings where the code is ""smelling"" on purpose. ",Yes,Great but limited - integrations with Copilot would be great. ,,Sometimes I feel like a good tracker/overview of used variables and variables paths are missing. ,
2023-11-13 ä¸__07:30:22,Agree,USA,Undergraduate/graduate student,Python,Algorithm/ML Model Design,4 to 5 years,Strongly Disagree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Yes,code smell detection tool like Blackbox helps to avoid duplication and redundant codes,Yes,"makes you avoid basic common mistakes based on set rules by the programmer, I like it","Yes, sometimes it brakes the code when it tries to correct intentionally written code to something else",should offer detailed custom configuration to guide the tool's task,
2023-11-13 ä¸__05:43:27,Agree,Australia,Undergraduate/graduate student,"Java, Python, JavaScript",Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Strong Agree,Agree,Agree,Yes,Useful,Yes,Useful and at the end we can have a clean code,no,no,
2023-11-13 ä¸__04:04:48,Agree,Canada,Industrial or freelance professional,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,No,,No,,,,
2023-11-14 ä¸__11:46:20,Agree,Ukraine,Industrial or freelance professional,Python,Development,10 years or more,Strong Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strong Agree,,Neutral,Agree,Strong Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,"overall useful, but false positives are really annoying",No,haven't run into one,,,
2023-11-10 ä¸__12:12:21,Agree,,Industrial or freelance professional,"Python, Go",Algorithm/ML Model Design,6 to 9 years,Agree,Disagree,Neutral,Strong Agree,Strong Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strong Agree,Neutral,Disagree,Neutral,I don't Know,Agree,,Neutral,Strong Agree,Agree,Agree,Strong Agree,Neutral,Agree,Agree,Strong Agree,Strong Agree,No,,Yes,,Can't locate the relevant used methods,Nope,
2023-11-13 ä¸__05:48:16,Agree,Greece,Undergraduate/graduate student,"C/C++, Python",Algorithm/ML Model Design,4 to 5 years,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Neutral,Neutral,No,,No,,,,
2023-11-14 ä¸__12:36:29,Agree,United States,Industrial or freelance professional,"C/C++, Python",Development,4 to 5 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Yes,"I seldom use them. The reason is mostly lack of knowledge of which tools are well-regarded. I think my company and I might benefit from using them, actually.",Yes,It is handy to make changes like renaming or extracting a method into a one-click operation.,"I stick to simple tasks, so I rarely have issues with these tools.",Handling C++-Python FFI boundaries would be a huge benefit.,
2023-11-13 ä¸__04:11:57,Agree,Denmark,Academic or industrial researcher,Python,Algorithm/ML Model Design,10 years or more,Strong Agree,Agree,Neutral,Agree,Strong Agree,I don't Know,Neutral,Agree,Strong Agree,Strong Agree,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Disagree,Agree,I don't Know,Strongly Disagree,,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Yes,,No,,,,
2023-11-14 ä¸__06:14:45,Agree,China,Industrial or freelance professional,"C/C++, Python",Algorithm/ML Model Design,2 to 3 years,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strong Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,No,,No,,,,
2023-11-14 ä¸__11:40:26,Agree,US,Academic or industrial researcher,Python,Algorithm/ML Model Design,4 to 5 years,Strong Agree,Neutral,Neutral,Disagree,Strong Agree,Strongly Disagree,Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Disagree,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,,Disagree,Neutral,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Neutral,Disagree,No,,No,,,Write great test cases to ensure both codes operate similarly,
2023-11-14 ä¸__11:16:21,Agree,Malaysia,Industrial or freelance professional,Java,Development,4 to 5 years,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Neutral,Agree,Strong Agree,Agree,Disagree,Strong Agree,Strong Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Disagree,Strong Agree,Strong Agree,Neutral,Disagree,Yes,They are very useful for detecting potential issues early,Yes,"I__e mostly used it for strongly typed languages (Java, TypeScript), which I didn__ face much challenges with since the tools were able to accurately detect usages. I would imagine it might be more challenging for loosely typed languages",No,More configurable so that they can also be applied to libraries and frameworks,
2023-11-10 ä¸__02:07:24,Agree,Chile,Undergraduate/graduate student,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Neutral,Agree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,I don't Know,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,I don't Know,I don't Know,I don't Know,,Neutral,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Strong Agree,No,,Yes,"I have used some of IntelliJ, and I find them very good.",No,,
